Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Amaranthus tricolor L.,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaranthus viridis L.,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Amaryllis belladonna L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia artemisiifolia L.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ambrosia polystachya DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphilophium buccinatorium (DC.) L.G.Lohmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacardium occidentale L.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anacyclus australis Sieber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anagallis arvensis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon hallii Hack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone hupehensis (É.Lemoine) É.Lemoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anethum graveolens L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Angelonia biflora Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelonia gardneri Hook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angophora floribunda (Sm.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angophora subvelutina F.Muell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anigozanthos flavidus DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annona glabra L.,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anoda cristata (L.) Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anredera baselloides (Kunth) Baill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anredera cordifolia (Ten.) Steenis,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anthemis cotula L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anthoxanthum odoratum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthurium andraeanum Linden ex André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Anthurium spathiphyllum N.E.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigonon leptopus Hook. & Arn.,,1,1,1,,,,,,,1,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Antirrhinum majus L.,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Aphelandra arborea (Mill.) M.R.Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelandra aurantiaca (Scheidw.) Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelandra scabra (Vahl) Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphloia theiformis (Vahl) Benn.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
