Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Polyscias cumingiana (C.Presl) Fern.-Vill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polytrias indica (Houtt.) Veldkamp,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pomaderris apetala Labill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontederia cordata L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Populus alba L.,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Portulaca oleracea L.,1,1,1,1,1,1,1,1,1,,,1,,,,,1,,,,,1,,,1,1,1,1,1,1,1,1,1,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Portulaca pilosa L.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Portulaca quadrifida L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Potamogeton berchtoldii Fieber,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Potamogeton crispus L.,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Potamogeton pusillus L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Potamogeton trichoides Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primula malacoides Franch.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Primula obconica Hance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pritchardia pacifica Seem. & H.Wendl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Proiphys amboinensis (L.) Herb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis chilensis (Molina) Stuntz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Prosopis glandulosa Torr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora (Sw.) DC.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Prosopis pallida (Willd.) Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis velutina Wooton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus armeniaca L.,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,1,,,1,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Prunus avium (L.) L.,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Prunus campanulata Maxim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus laurocerasus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus mahaleb L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudelephantopus spicatus (Juss.) R.Br.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pseuderanthemum carruthersii (Seem.) Guillaumin,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pseuderanthemum cinnabarinum (Wall.) Radlk. ex Lindau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudofumaria lutea (L.) Borkh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psidium guajava L.,1,1,1,1,,1,,,,,,1,,,,,1,1,,,,,,,1,,1,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Psophocarpus scandens (Endl.) Verdc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psoralea pinnata L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pterocymbium tinctorium Merr.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ptychosperma elegans (R.Br.) Blume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueraria montana (Lour.) Merr.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Punica granatum L.,1,1,1,1,1,,1,1,,,,1,,,,,1,,,,,,,,1,,1,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pupalia lappacea (L.) Juss.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Pycnostachys speciosa Gürke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pycreus pumilus (L.) Nees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
"Pyrolirion arvense (F.Dietr.) Erhardt, Götz & Seybold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus baloot Griff.,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Quercus coccifera L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus ilex L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Quercus robur L.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Quillaja saponaria Poir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus aquatilis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphanus raphanistrum L.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Raphionacme hirsuta (E.Mey.) R.A.Dyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauvolfia tetraphylla L.,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Reseda luteola L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reynoutria sachalinensis (F.Schmidt) Nakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnus cathartica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnus persica P.Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheum rhaponticum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodanthe chlorocephala (Turcz.) Paul G.Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodanthe manglesii Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchosia minima (L.) DC.,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Richardia brasiliensis Gomes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Richardia scabra L.,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ricinus communis L.,1,1,1,1,,1,,1,1,,,1,,,,,1,1,,,,,,,1,,1,1,1,1,1,1,,1,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rivina humilis L.,1,1,1,1,,1,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,,1,1,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Robinia pseudoacacia L.,1,1,1,1,,1,1,,1,,,1,1,,,,1,1,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Romneya coulteri Harv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rorippa dubia (Pers.) H.Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rorippa islandica (Oeder) Borbás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa canina L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa cathayensis (Rehder & E.H.Wilson) L.H.Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa chinensis Jacq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rosa cymosa Tratt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa laevigata Michx.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa moschata Mill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rosa multiflora Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rosa sempervirens L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa setigera Michx.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotala densiflora (Roth) Koehne,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rotala indica (Willd.) Koehne,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rubus buergeri Miq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus moluccanus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rubus ulmifolius Schott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudbeckia maxima Nutt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruellia elegans Poir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruellia simplex C.Wright,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ruellia tuberosa L.,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Ruellia tweediana Griseb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rumex acetosella L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex aquaticus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex conglomeratus Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex crispus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rumex obtusifolius L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Rumex paulsenianus Rech.f.,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Russelia floribunda Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabal minor (Jacq.) Pers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Saccharum spontaneum L.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sagina procumbens L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagina saginoides (L.) H.Karst.,,,1,,,,,,1,,,1,,1,1,1,,1,1,,,1,,,,1,1,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sagittaria latifolia Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagittaria sagittifolia L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix alba L.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Salix babylonica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Salix cinerea L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia elegans Vahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia glechomifolia Kunth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia involucrata Cav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia melissodora Lag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia patens Cav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia plebeia R.Br.,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Salvia sclarea L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Salvia uliginosa Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia verbenaca L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvinia adnata Desv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvinia natans (L.) All.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambucus nigra L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sanchezia parvibracteata Sprague & Hutch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandoricum koetjape (Burm.f.) Merr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sansevieria hyacinthoides (L.) Druce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sansevieria zeylanica (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Santolina chamaecyparissus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapindus saponaria L.,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Saponaria officinalis L.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Satureja hortensis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Saxifraga stolonifera Curtis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scadoxus puniceus (L.) Friis & Nordal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola taccada (Gaertn.) Roxb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scandix stellata Banks & Sol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaueria calicotricha (Link & Otto) Nees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schefflera arboricola (Hayata) Merr.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Schefflera elegantissima (Veitch ex Mast.) Lowry & Frodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schizanthus pinnatus Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schotia brachypetala Sond.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Schouwia purpurea (Forssk.) Schweinf.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scleranthus annuus L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sclerocarpus africanus Jacq. ex Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoparia dulcis L.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Scorzonera hispanica L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Scrophularia peregrina L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searsia lancea (L.f.) F.A.Barkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searsia tomentosa (L.) F.A.Barkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum acre L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum mexicanum Britton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum sarmentosum Bunge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seemannia sylvatica (Kunth) Baill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selenicereus testudo (Karw. ex Zucc.) Buxb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio articulatus (L.f.) Sch.Bip.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio sempervivus Sch.Bip.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio vestitus Sweet ex Steud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio vulgaris L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegalia mellifera (Benth.) Seigler & Ebinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna alata (L.) Roxb.,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna bicapsularis (L.) Roxb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna didymobotrya (Fresen.) H.S.Irwin & Barneby,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna fruticosa (Mill.) H.S.Irwin & Barneby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna hirsuta (L.) H.S.Irwin & Barneby,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna insularis (Britton & Rose) H.S.Irwin & Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna multiglandulosa (Jacq.) H.S.Irwin & Barneby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna obtusifolia (L.) H.S.Irwin & Barneby,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna occidentalis (L.) Link,,,1,1,,,,,,,,1,,,,,1,,,,,,,,1,,1,1,1,1,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna planitiicola (Domin) Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna polyphylla (Jacq.) H.S.Irwin & Barneby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna septemtrionalis (Viv.) H.S.Irwin & Barneby,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna sophera (L.) Roxb.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna spectabilis (DC.) H.S.Irwin & Barneby,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna tora (L.) Roxb.,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Senna uniflora (Mill.) H.S.Irwin & Barneby,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sesamum radiatum Schumach. & Thonn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesbania bispinosa (Jacq.) W.Wight,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Sesbania cinerascens Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
