Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Bromus diandrus Roth,,,,,,,,,,
Bromus inermis Leyss.,,,,,,,,,,
Bromus tectorum L.,,,,,,,,,,
Broussonetia papyrifera (L.) L'Hér. ex Vent.,,,,1,3516,0.5,,24,99,NL;PL
Browallia speciosa Hook.,,,,,,,,,,
Brugmansia suaveolens (Willd.) Sweet,,,,,,,,,199,PL
Brugmansia versicolor Lagerh.,,,,,,,,,,
Brunfelsia americana L.,1,399,,,,,,,499,NL;PL
Brunfelsia grandiflora D.Don,,,,,,,,,299,PL
Brunfelsia undulata Sw.,,,,,,,,,,
Brya ebenus (L.) DC.,1,,272,,,,,,499,NL;PL
Bryophyllum fedtschenkoi (Raym.-Hamet & H.Perrier) Lauz.-March.,,,,,,,,,299,PL
Bryophyllum pinnatum (Lam.) Oken,,,,,,,,,349,PL
Buddleja davidii Franch.,1,,15,,,,,,,NL
Buddleja lindleyana Fortune,,,,,,,,,,
Butia yatay (Mart.) Becc.,,,,,,,,,,
Butomus umbellatus L.,,,,,,,,,,
Buxus sempervirens L.,,,,,,,,,,
Byrsonima verbascifolia (L.) DC.,,,,,,,,,,
Cabomba caroliniana A.Gray,,,,,,,,,,
Cabomba furcata Schult. & Schult.f.,,,,,,,,,,
Caesalpinia gilliesii (Hook.) D.Dietr.,,,,,,,,,,
Caladium bicolor (Aiton) Vent.,1,749,262,,,,,,299,NL;PL
Calanthe striata R.Br. ex Lindl.,,,,,,,,,,
Calathea ornata (Linden) Körn.,1,649,251,,,,,,299,NL;PL
Calathea zebrina (Sims) Lindl.,1,399,1746,,,,,,399,NL;PL
Calceolaria mexicana Benth.,,,,,,,,,,
Calceolaria tripartita Ruiz & Pav.,,,,,,,,,,
Calendula officinalis L.,,,,,,,,,,
Callaeum macropterum (DC.) D.M.Johnson,,,,,,,,,,
Calliandra inermis (L.) Druce,,,,,,,,,,
Calliandra surinamensis Benth.,,,,,,,,,,
Calliandra tergemina (L.) Benth.,,,,,,,,,,
Callisia repens (Jacq.) L.,,,,,,,,,299,PL
Callistemon citrinus (Curtis) Skeels,,,,1,1155,0.5,,274,349,NL;PL
Callistemon salignus (Sm.) Colv. ex Sweet,,,,,,,,,,
Callistemon viminalis (Sol. ex Gaertn.) G.Don,,,,,,,,,,
Callitris rhomboidea R.Br. ex Rich. & A.Rich.,,,,,,,,,,
Calluna vulgaris (L.) Hull,,,,,,,,,,
Calopogonium mucunoides Desv.,,,,,,,,,,
Calotropis gigantea (L.) Dryand.,1,199,182,,,,,,499,NL;PL
Calotropis procera (Aiton) Dryand.,,,,,,,,,,
Calyptocarpus vialis Less.,,,,,,,,,,
Camellia sinensis (L.) Kuntze,1,,18,,,,,,499,NL;PL
Campanula drabifolia Sm.,,,,,,,,,,
Campanula medium L.,,,,,,,,,,
Campanula rapunculoides L.,,,,,,,,,,
Canarium vulgare Leenh.,,,,,,,,,,
Canavalia africana Dunn,,,,,,,,,,
Cannabis sativa L.,1,,246,,,,,,499,NL;PL
Canscora diffusa (Vahl) R.Br. ex Roem. & Schult.,,,,,,,,,899,PL
Capsella bursa-pastoris (L.) Medik.,,,,,,,,,,
Cardamine africana L.,,,,,,,,,,
Cardamine flexuosa With.,,,,,,,,,,
Cardamine hirsuta L.,,,,,,,,,,
Cardamine trichocarpa Hochst. ex A.Rich.,,,,,,,,,,
Cardiospermum halicacabum L.,,,,,,,,,499,PL
Carduus edelbergii Rech.f.,,,,,,,,,,
Carduus nutans L.,,,,,,,,,,
Carex diandra Schrank,,,,,,,,,,
Carex diluta M.Bieb.,,,,,,,,,,
Carpesium abrotanoides L.,,,,,,,,,,
Carthamus lanatus L.,,,,,,,,,,
Carthamus oxyacantha M.Bieb.,,,,,,,,,,
Carthamus oxyacanthus M.Bieb.,,,,,,,,,,
Cassia artemisioides DC.,,,,,,,,,,
Cassia javanica L.,1,399,281,1,929,1,,224,299,NL;PL
Cassia renigera Benth.,,,,1,,1,118,,399,NL;PL
Cassytha filiformis L.,1,,133,,,,,,299,NL;PL
Castanea crenata Siebold & Zucc.,,,,,,,,,,
Castanospermum australe A.Cunn. & C.Fraser,1,,195,,,,,,399,NL;PL
Casuarina equisetifolia L.,1,299,291,1,1911,0.5,,32,,NL
Casuarina glauca Sieber ex Spreng.,,,,,,,,,,
Catalpa bignonioides Walter,,,,,,,,,,
Catha edulis (Vahl) Endl.,1,,183,,,,,,,NL
